sentence1,relation,relationscore,structure,structurescore
will i be able to upgrade to 13.04 from 12.10 with a wubi installation ?,will i be able to upgrade from 12.10 to 13.04 with a wubi installation?. ,3,Can a Wubi installation be upgraded from 12.10 to 13.04?,5
ubuntu download errors ?,download errors ubuntu?. ,1,What are some common Ubuntu download errors?,4
keyboard not working at grub,grub not working at keyboard,2,"At the GRUB menu, why is the keyboard not working?",5
banshee crashes with `` an unhandled exception was thrown : '',an unhandled exception was thrown : '' with banshee crashes,1,"What could be causing Banshee to crash with the error message ""An unhandled exception was thrown""?",3
network manager icon not visible in system tray,system tray not visible in network manager icon,2,Why is the network manager icon not visible in the system tray?,4
how to make the unity launcher always visible ?,how to make the unity launcher visible always ?,5,How can I make the Unity launcher always visible?,5
how to automount ntfs partitions ?,how to partitions ntfs automount?,4,How to mount NTFS partitions automatically?,5
how do you install after download ?,how do you download after install?,2,"After downloading, how do you install the software?",3
how do i install additional drivers with both wired and wireless failing ?,how do i install additional drivers with both wireless and wired failing?,4,"With both wired and wireless failing, how can I install additional drivers?",5
how to change default python version from terminal ?,how to change python default version from terminal?,3,How can I change the default Python version from the terminal?,5
how can i activate unity ?,how can unity activate i?,1,"Unity, how can I activate it?",3
is there way to accelerate package downloads in slow connections ?,is there way to downloads package in accelerate slow connections?,2,Is there a way to speed up package downloads on slow connections?,3
why does update manager give me a 404 error with these google repositories ?,why does update manager give me a 404 error with google these repositories?,4,Why do these Google repositories give me a 404 error in update manager?,4
how do i setup dual monitors in xfce ?,how do i setup xfce in dual monitors?,3,How do I set up dual monitors in XFCE?,5
bookmarked shares on a home server constantly disappearing after shutdown,bookmarked shares on a home server disappearing constantly after shutdown,3,The bookmarked shares on a home server keep disappearing after shutdown.,2
want to install ubuntu 12.04 new on ssd for / and hdd for /home but keep all settings,want to install ubuntu 12.04 new on ssd for /home and hdd for / but keep all settings,4,Installing Ubuntu 12.04 new on SSD for / and HDD for /home while keeping all settings?,3
the system is running in low graphics mode,running in low graphics mode is the system,4,The low graphics mode is running on the system.,4
what is the difference between installing ubuntu on a usb device and a laptop hardisk ?,what is the difference between installing ubuntu on a laptop hardisk and a usb device ?,4,What is the difference between installing Ubuntu on a USB device and a laptop hard disk?,4
"10.04 install flash player , get white screen","get white screen, 10.04 install flash player",4,"After installing Flash Player on 10.04, I get a white screen.",3
no ubuntu partitions on installed dual boot system,"on installed dual boot system, no ubuntu partitions",4,The installed dual boot system has no Ubuntu partitions.,5
what drivers should i use for my printer ?,what drivers should i use for my printer ?,5,Which drivers should I use for my printer?,4
how can i switch a 32-bit installation to a 64-bit one ?,how can i switch a 64-bit installation to a 32-bit one ?,2,How can I switch from a 32-bit installation to a 64-bit one?,2
apt sources.list disabled on upgrade to 12.04,"on upgrade to 12.04, apt sources.list disabled",4,The apt sources.list is disabled after upgrading to 12.04.,2
how do i add classical categories in unity 's dash ?,how do i add classical categories in unity 's dash ?,5,How do I add classical categories in Unity's dash?,5
wubi grub prompt `` minimal bash-like line editing is supported '',"`` minimal bash-like line editing is supported '', wubi grub prompt",4,"Prompted by the wubi grub, ""minimal bash-like line editing is supported"".",5
big ugly icons in notification area,Icons in notification area are big and ugly.,3,The notification area has big and ugly icons.,4
what alternatives are available to replace the purple boot splash screen ?,What alternatives are available to replace the boot splash screen that is purple?,4,Are there any alternatives available to replace the purple boot splash screen?,5
wireless is disabled in 12.04 ubuntu,"In 12.04 Ubuntu, wireless is disabled.",4,"In Ubuntu 12.04, wireless is disabled.",5
how to execute a script just by double clicking like .exe files in windows ?,"How to execute a script by double clicking, similar to .exe files in Windows?",4,"How can I execute a script just by double-clicking, similar to .exe files in Windows?",5
how can i manually edit the unity top panel ?,How can I edit the unity top panel manually?,4,The Unity top panel can be manually edited by how?,4
why is the firewall disabled by default ?,Why is the firewall disabled by default?,5,"By default, why is the firewall disabled?",4
what is the ubuntu `` built in virus protection '' ?,What is the built-in virus protection in Ubuntu?,4,What is the built-in virus protection in Ubuntu?,4
just installed security updates now all i get is a white screen,"After installing security updates, all I see is a white screen.",4,"After installing security updates, all I get is a white screen.",2
is there a way to change my home folder to encrypted after upgrading to 12.04,"After upgrading to 12.04, is there a way to encrypt my home folder?",4,Is it possible to encrypt my home folder after upgrading to 12.04?,5
run 12.04 from usb with no hard disk usage,Run 12.04 from USB without using the hard disk.,4,"With no hard disk usage, run 12.04 from USB.",5
how do i use ubuntu 's web application integration ?,how do i use web application integration 's ubuntu ?,3,"Ubuntu's web application integration, how do I use it?",4
replace windows with ubuntu with iso burned onto disk ?,replace ubuntu with windows with iso burned onto disk ?,3,"Burned onto disk, replace Windows with Ubuntu with ISO?",4
how do i mount a hibernated ntfs partition ?,how do i mount a ntfs partition hibernated ?,4,How do I mount a hibernated NTFS partition?,5
automatically size windows using xfce like in gnome,automatically size xfce using windows like in gnome,4,"Like in Gnome, automatically size Windows using Xfce.",4
is there a shortcut key for accessing the menu bar ?,is there a shortcut key for accessing the bar menu ?,2,Is there a shortcut key to access the menu bar?,5
fresh install of ubuntu 12.10 wo n't boot on asus x101ch eee pc,fresh install of ubuntu 12.10 eee pc wo n't boot on asus x101ch,3,Asus X101CH Eee PC won't boot on fresh install of Ubuntu 12.10.,2
how to install adium theme for pidgin ?,how to install pidgin theme for adium ?,1,How to install Adium theme for Pidgin?,4
how can i install ubuntu on a pc preinstalled with windows 8 on samsung np370r5e-s04in,how can i install ubuntu on a pc preinstalled with samsung np370r5e-s04in windows 8 on ?,3,"Preinstalled with Windows 8 on Samsung NP370R5E-S04IN, how can I install Ubuntu on a PC?",3
how can we get the command line of a running application ?,how can we get the line command of a running application ?,4,How can the command line of a running application be obtained?,4
what are some of the issues with ccsm and why would i want to avoid it ?,what are some of the issues with avoid ccsm and why would i want to it ?,2,What are some of the issues with CCMS and why would it be avoided?,5
install ubuntu packages to other machine ?,install other machine to ubuntu packages ?,3,Can I transfer Ubuntu packages to another machine and how?,3
installed 12.04 on lenovo x120e now i ca n't boot,installed 12.04 on lenovo x120e now can't i boot,5,"After installing 12.04 on Lenovo X120e, why can't I boot it?",5
how can i set ask ubuntu website as desktop live wallpaper ?,how can i set desktop live wallpaper as ask ubuntu website ?,2,How can I set the Ask Ubuntu website as my desktop live wallpaper?,4
"can not update , can not reinstall dkms","can not reinstall dkms, can not update",4,I am unable to update or reinstall DKMS.,3
whats the difference between ubuntu 11.10 and ubuntu 11.10 server version ?,whats the difference between ubuntu 11.10 server version and ubuntu 11.10 ?,5,What is the difference between Ubuntu 11.10 and Ubuntu 11.10 server version?,4
chrome and firefox not loading flash plugin ( could n't load plug-in ),firefox and chrome not loading flash plugin ( couldn't load plug-in ),4,Flash plugin not loading on Chrome and Firefox (plug-in couldn't be loaded).,3
change boot entry names and grub background ?,change grub background and boot entry names ?,5,How can I change the boot entry names and the Grub background?,4
how do i quit banshee ?,how do i quit banshee ?,5,What is the process to quit Banshee?,2
how to install 32 bit wine on 64 bit ubuntu ?,how to install 64 bit wine on 32 bit ubuntu ?,1,How can I install 32-bit Wine on 64-bit Ubuntu?,4
i need help uninstalling ubuntu please help,please help i need help uninstalling ubuntu,4,"Uninstalling Ubuntu, I need help, please.",5
rosetta stone permissions problem,permissions problem rosetta stone,4,Problem with permissions for Rosetta Stone.,2
how can i boot ubuntu from a usb ?,how can i boot ubuntu from a usb ?,4,"From a USB, how can I boot Ubuntu?",4
how to remove unity and the default desktop environment of ubuntu,how to remove unity and the default desktop environment of Ubuntu?,3,"Removing Unity and the default desktop environment of Ubuntu, how to?",5
netflix wont work without new silverlight update,Netflix won't work without updating Silverlight.,4,Netflix requires a new Silverlight update to work.,4
troubleshooting blank ld_library_path,troubleshooting LD_LIBRARY_PATH when it is blank.,4,Troubleshooting blank LD_LIBRARY_PATH.,4
how to make the keyboard media keys to work with vlc globally ?,how to make VLC work with the media keys on the keyboard globally?,4,"Globally, how to make the keyboard media keys work with VLC?",5
why there is no shell ?,why is there no shell?,4,Why is there no shell?,4
wubi gives error 'nonetype ' object has no attribute 'get_info ',Wubi gives an error 'Nonetype' object get_info has no attribute.,2,Wubi gives an error: 'Nonetype' object has no attribute 'get_info'.,2
nvidia geforce 9600m gt not enabled,The enabling of NVIDIA GeForce 9600M GT is not supported.,3,The Nvidia GeForce 9600M GT is not enabled.,4
install ubuntu from usb drive,how to install Ubuntu using a USB drive?,4,"From USB drive, install Ubuntu.",5
how to write arabic numerical on libreoffice ?,how to write numerical arabic on libreoffice ?,5,"On LibreOffice, how to write Arabic numerals?",5
setting desktop background with gconftool-2,setting gconftool-2 desktop background with,3,"Using gconftool-2, set desktop background.",4
hide program entry 's in sound indicator,hide 's program entry in sound indicator,2,Sound indicator: hide program entries.,4
how set external webcam as a default webcam ?,how set default webcam as an external webcam ?,4,How to make an external webcam the default webcam?,3
how to configure samba file server for sharing between ubuntu pc 's,how to configure samba file server for sharing between pc ubuntu 's,5,Configure Samba file server for sharing between Ubuntu PCs.,2
dual boot ubuntu 14 .04lts,dual boot 14 .04lts ubuntu,4,Dual boot Ubuntu 14.04 LTS.,4
how can i get a more traditional drop-down like menu for unity ?,how can i get a more traditional menu like drop-down for unity ?,4,How can I get a less conventional menu for Unity?,2
how do i make update manager work,how do i work make update manager,3,How can Update Manager be made to work?,2
how do i free up more space in /boot ?,how do i free up space in /boot more ?,3,How can I create more space in /boot?,4
what happened to my launcher icon size slider in settings > appearance and how can i get it back ?,what happened to my settings > appearance launcher icon size slider and how can i get it back ?,4,How can I retrieve my launcher icon size slider in Settings > Appearance?,4
ubuntu on lenovo yoga 2 pro,lenovo yoga 2 pro on ubuntu,4,Ubuntu on Lenovo Yoga 2 Pro: Is it possible?,2
where do i put this code to install absynth 5 ?,where do i put this code to install 5 absynth ?,2,Where should I insert this code to install Absynth 5?,3
downgrade from one version to a previous version ?,downgrade from a previous version to one version ?,2,How can I revert to a previous version from the current one?,2
freeing up partition space,partition space freeing up,2,How can partition space be freed up?,3
connecting a nexus 7 to ubuntu,connecting ubuntu to a nexus 7,2,How can I connect a Nexus 7 to Ubuntu?,4
i ca n't get into the sudoers listings,i can't get into the listings sudoers,2,Why am I unable to access the sudoers listings?,2
how can i schedule a nightly reboot ?,How can I schedule a reboot every night?,4,Is it possible to schedule a daily reboot?,2
ubuntu 13.10 network connectivity issues,Network connectivity issues in Ubuntu 13.10,3,Ubuntu 13.10 network connectivity issues resolved?,2
how can i configure gnome shell notification settings ?,How can I configure notification settings in GNOME Shell?,4,How can I configure Gnome Shell notification settings differently?,2
correct way to install virtual dependency,What is the correct way to install a virtual dependency?,4,What is the correct way to install virtual dependency?,2
"nvidia driver , black login screen",Black login screen after installing Nvidia driver,4,Black login screen after installing Nvidia driver?,2
how to install xfce in ubuntu 11.10,How can I install XFCE in Ubuntu 11.10?,4,Is it possible to install Xfce in Ubuntu 11.10?,3
update manager refuses to update,Update manager is refusing to update,4,"Update manager refusing to update, what to do?",3
/etc/x11/xorg.conf does n't exist ?,/etc/x11/xorg.conf does not exist?,4,Does /etc/x11/xorg.conf exist?,3
ubuntu 12.04 does n't boot from usb,Ubuntu 12.04 does not boot from USB,4,"Doesn't boot from USB, Ubuntu 12.04.",5
how to upgrade 12.4 to 13.10,how to upgrade 13.10 to 12.4,2,"Upgrade 12.4 to 13.10, how to?",4
some index files failed to download,download failed to some index files,3,Download of some index files failed.,3
mounting iphone 4,iphone 4 mounting,5,iPhone 4 mounting.,4
speed internet connection up ?,up speed internet connection ?,0,Up the speed of internet connection?,3
how to disable encrypted home directory ?,how to disable home directory encrypted ?,2,"Encrypted home directory, how to disable?",4
download apps from ubuntu software center and run in windows 7,download apps from windows 7 and run in ubuntu software center,2,Run apps downloaded from Ubuntu Software Center on Windows 7.,4
how to do partition in ubuntu 14.04 ?,how to partition in ubuntu 14.04 ?,4,How to partition in Ubuntu 14.04?,2
run a command after a specific usb was plugged in,a command was plugged in after a specific usb run,0,"After a specific USB is plugged in, run a command.",5
ubuntu 12.04 / 12.10 randomly freezing - nvidia ?,ubuntu randomly freezing - nvidia 12.04 / 12.10 ?,4,Nvidia? Ubuntu 12.04/12.10 randomly freezing.,5
alps touchpad on dell inspiron i15rn-3647bk with ubuntu 11.10 x64,alps touchpad on ubuntu 11.10 x64 with dell inspiron i15rn-3647bk,3,"Dell Inspiron i15rn-3647bk with Ubuntu 11.10 x64, Alps touchpad.",4
is there a way to find duplicate images in ubuntu ?,is there a way to find duplicate images in ubuntu ?,5,How can I find duplicate images in Ubuntu?,2
convert .jar to executable,convert .jar to executable,4,Executable conversion from .jar.,2
`` a error occurred during the signature verification . '' during apt-get update,"during apt-get update, `` a error occurred during the signature verification . ''",4,"During apt-get update, ""A signature verification error occurred.""",2
change default 'open with ' for document folder,"for document folder, change default 'open with '",5,"For the document folder, change the default ""open with.""",2
give permission to /var/www,"to /var/www, give permission",5,How do I give permission to /var/www?,3
boot to a black screen but recovery mode boot works,"but recovery mode boot works, boot to a black screen",3,"Black screen on boot, but recovery mode works.",3
"error out of disk , grub rescue","grub rescue, error out of disk",5,Grub rescue error: Out of disk.,2
ubuntu 12.4 will not update [ unmet dependencies ],"[ unmet dependencies ], ubuntu 12.4 will not update",4,[Unmet dependencies] prevent Ubuntu 12.4 from updating.,4
how do i install the driver for a microsoft lifecam vx-3000 ?,how do i install the driver for a lifecam vx-3000 microsoft ?,4,How can I install the driver for a Microsoft Lifecam VX-3000?,4
connect my galaxy s duos phone as mass storage or drivers,connect my galaxy s duos phone as drivers or mass storage,4,How to connect my Galaxy S Duos phone as mass storage or drivers?,4
where and how do i find the *desktop*.iso file needed to install universal usb installer ? i need it to install ubuntu,how and where do i find the *desktop*.iso file needed to install universal usb installer ? i need it to install ubuntu,4,Where and how can I find the *desktop*.iso file required to install Universal USB Installer for Ubuntu installation?,2
make gedit embedded terminal colours the same as the default terminal,make gedit embedded terminal the same as the default terminal colours,4,Make Gedit embedded terminal colors the same as the default terminal.,2
heartbleed ubuntu 13.04 stuck on openssl 1.0.1c,heartbleed ubuntu 13.04 stuck on 1.0.1c openssl,3,Heartbleed Ubuntu 13.04 is stuck on OpenSSL 1.0.1c.,2
how do i find out where are command line commands installed ?,how do i find out where command line commands are installed ?,4,Where are the installed command line commands located?,3
ubuntu took away permissions from my data partition,My data partition took away permissions from Ubuntu.,3,My data partition's permissions were taken away by Ubuntu.,2
sharing subfolders with ubuntu one,Sharing ubuntu one with subfolders.,2,Ubuntu One: How to share subfolders?,4
how to free up space on /boot ?,How to free up space on /boot?,5,What is the process to free up space on /boot?,5
installer gets stuck with a grayed out forward button,Installer gets stuck with a forward button that is grayed out.,4,The installer's forward button is grayed out and stuck.,5
advantages/disadvantages of installing from source code,Installing from source code: advantages/disadvantages.,4,What are the pros and cons of installing from source code?,4
how do i get grub to install on a raid array ?,Getting Grub to install on a raid array: how do I?,4,How can I get Grub to install on a RAID array?,4
ubuntu install erased windows,Windows erased ubuntu install.,1,"Ubuntu installation erased Windows, what to do?",4
constant crashes and freezes after upgrade to 12.04,Crashes and freezes constantly after upgrade to 12.04.,4,"After upgrading to 12.04, constant crashes and freezes.",4
how to prevent unity dash from taking keyboard control,How to prevent keyboard control from being taken by unity dash.,1,How to stop Unity Dash from taking control of the keyboard?,4
disable the confirmation of shutdown,Disabling the confirmation of shutdown.,3,"Confirmation of shutdown, disable it.",5
any command line calculator for ubuntu ?,ubuntu for line command calculator any ?,4,Is there any command line calculator available for Ubuntu?,2
why does the ubuntu software center deliver an outdated version of tex live ?,why does the software center ubuntu deliver an outdated version of tex live ?,5,Why is the Ubuntu Software Center providing an outdated version of Tex Live?,5
unity does not start in ubuntu 13.04,ubuntu does not start in unity 13.04,3,Ubuntu 13.04 is unable to start Unity.,4
what is the password for `` ssh root @ localhost `` ?,what is the password for root ssh @ localhost ?,2,"What is the password for ""ssh root@localhost""?",5
"wubi install was fine . weeks later , i can not boot into ubuntu . can i now try to boot via disk or usb and still have access to my files ?","wubi install was fine . weeks later , i can not boot into ubuntu . can i now try to boot via usb or disk and still have access to my files ?",4,"After a successful Wubi install, I am unable to boot into Ubuntu weeks later. Can I try to boot via disk or USB and still have access to my files?",2
installing ubuntu on another hard drive disk ( f : ),installing ubuntu on another disk drive hard ( f : ),4,"Another hard drive disk (F:), how to unconventionally install Ubuntu on it?",2
how do i recover my root password ?,how do i recover my password root ?,2,Recovering my root password - how?,4
how to install amd ati radeon graphics hd 6770m,install how to ati radeon graphics hd 6770m amd,3,Installing AMD ATI Radeon Graphics HD 6770M - how to?,4
compiz crash leaves no usable interface,compiz crash leaves interface no usable,4,No usable interface due to Compiz crash - what to do?,4
reasons why not to update an ubuntu version to a newer/older kernel version,reasons why not to update a newer/older kernel version an ubuntu version,5,What are the reasons for not updating an Ubuntu version to a newer/older kernel version?,4
how to solve the 'nodata ' ( does the network require authentication ? ) problem ?,solve how to the 'nodata ' ( does the network require authentication ? ) problem ?,5,'Nodata' problem - how to solve it? Does the network require authentication?,2
how to share wine with other machine ?,how to share other machine with wine ?,2,Sharing wine with another machine - how to?,2
"how would i install ubuntu on a disk already containing windows 7 , not dual booting",how would i install ubuntu on a disk not dual booting already containing windows 7,4,"Installing Ubuntu on a disk already containing Windows 7, without dual booting - how?",2
that i 'm must change or add to the grub for the disappearance of a black screen ?,that i 'm must add or change to the grub for the disappearance of a black screen ?,2,What changes or additions must be made to the Grub for the disappearance of a black screen?,2
possible memory leak on ubuntu 10.04 lts,possible memory leak on ubuntu lts 10.04,4,Is there a possible memory leak on Ubuntu 10.04 LTS?,3
what 's the visual difference between unity 3d and unity 2d ?,what 's the visual difference between unity 2d and unity 3d ?,5,What is the visual difference between Unity 3D and Unity 2D?,3
how can i get thunderbird contacts to sync with ubuntu one ?,how can i get ubuntu one to sync with thunderbird contacts ?,3,How can Ubuntu One sync with Thunderbird contacts?,3
a problem with conky in gnome 3.4,gnome 3.4 with a problem in conky,4,Gnome 3.4 has a problem with Conky.,2
is it possible to have two different dpi configurations for two different screens ?,is it possible to have two different configurations for two different screens with dpi ?,4,Can different screens have different DPI configurations?,3
firefox application associations not working,application associations not working in firefox,4,Firefox's application associations are not functioning.,2
how to install stable `` gnome shell 3.6 '' for ubuntu 12.04 ?,how to install gnome shell 3.6 for ubuntu 12.04 ?,4,"Installing stable ""Gnome Shell 3.6"" on Ubuntu 12.04 - how to do it?",3
method to create a live usb disk ( with persistence ) which actually works ?,method to create a live usb disk ( with persistence ) that actually works ?,4,Creating a live USB disk with persistence - any reliable methods?,2
how to change a password,how to change a password,5,Changing a password - how to do it?,2
"should i install programs from a source tarball ( `.tar.gz` ) , from the ubuntu software centre , or from elsewhere ?","should i install programs from the ubuntu software centre, from a source tarball ( `.tar.gz` ), or from elsewhere ?",3,"Installing programs - from source tarball, Ubuntu Software Centre, or elsewhere?",2
installing packages in multiple systems,packages in multiple systems installing,2,How can I install packages on multiple systems?,2
how to avoid opening duplicate files in new windows in gedit ?,how to avoid opening duplicate files in gedit in new windows ?,2,How can I prevent Gedit from opening duplicate files in new windows?,3
ubuntu keeps freezing but mouse still moves,"But mouse still moves, ubuntu keeps freezing",4,"Despite freezing, the mouse still moves in Ubuntu.",2
where can i find a repository for older unsupported releases ?,"For older unsupported releases, where can I find a repository?",4,"Where can I find a repository for older, unsupported releases?",3
can i use all my ram for application data ?,"For application data, can I use all my RAM?",4,Can I allocate all my RAM for application data?,2
need help creating shortcuts on the desktop in ubuntu,"On the desktop in Ubuntu, need help creating shortcuts",4,Creating shortcuts on the desktop in Ubuntu requires assistance.,4
"gnome-shell , how to fix it ?",How to fix gnome-shell?,4,How can I fix Gnome-shell?,2
how to install windows 8 pro after installing ubuntu 14.04,"After installing Ubuntu 14.04, how to install Windows 8 Pro",4,"After installing Ubuntu 14.04, how can I install Windows 8 Pro?",4
how to save command line output to text file ?,"To save command line output to text file, how to do it?",4,How can I save command line output to a text file?,4
gparted - increase ext4 partition using unallocated space,"Using unallocated space, increase ext4 partition with gparted",4,How can I increase the ext4 partition using unallocated space in Gparted?,4
how do i encrypt ext4 home folder partition ?,"Encrypt ext4 home folder partition, how do I do it?",4,How can I encrypt the ext4 home folder partition?,4
why does battery power drain quicker in ubuntu compared to windows in dell inspiron ?,"In Dell Inspiron, why does battery power drain quicker in Ubuntu compared to Windows?",4,"In Dell Inspiron, why is battery power draining faster in Ubuntu compared to Windows?",4
weather indicator app stopped working,The weather indicator app stopped working.,4,"Working, the weather indicator app stopped.",2
skype crashes after installing ubuntu 13.04,"After installing Ubuntu 13.04, Skype crashes.",4,"After installing Ubuntu 13.04, Skype crashes.",4
how to reset gnome panel ?,How to reset the gnome panel?,4,How to reset Gnome panel?,3
how to get flash working on abuntu 13.10,How to get Flash working on Ubuntu 13.10?,4,How can Flash be enabled on Ubuntu 13.10?,2
"fresh install of xubuntu on an acer travelmate 2410 , system will not reboot or shutdown","After a fresh install of Xubuntu on an Acer Travelmate 2410, the system will not reboot or shutdown.",3,"On an Acer Travelmate 2410, fresh install of Xubuntu, the system refuses to shutdown or reboot.",3
how to map right windows key to backspace ?,how to map backspace to right windows key ?,4,How can the right Windows key be mapped to backspace?,2
notification on unity after i3 desktop removal,notification after i3 desktop removal on unity,4,"After removing the i3 desktop, Unity notifications persist.",2
software to easily and quickely create colorful and intuitive review sheets,software to create colorful and intuitive review sheets easily and quickly,4,What software can I use to create review sheets that are both colorful and intuitive?,3
